ProdSalesCode,p,d,q,P,D,Q,M
06863108CA_2107,3,0,2,1,0,1,0
06863108CA_2137,1,0,3,3,0,3,3
06863108CA_2164,3,1,2,1,1,2,9
06863108CA_2174,1,0,1,2,0,1,3
06863108CA_2180,2,1,3,2,1,3,3
06863108CA_2220,1,1,1,2,0,1,6
06863108CA_2224,3,0,3,3,0,3,6
06863108CA_2227,1,0,2,1,0,3,3
06863108CA_2274,1,1,3,2,0,2,3
06863108CA_2339,1,0,2,3,1,1,9
06863108CA_2352,3,1,3,2,1,1,9
06863108CA_2354,2,0,2,3,0,1,6
06863108CA_2369,2,0,2,2,0,1,3
06863108CA_2378,1,0,1,3,0,3,3
06863108CA_2406,3,0,2,3,1,2,6
06863108CA_2412,3,0,2,1,1,2,6
06863108CA_4048,2,0,3,1,0,1,6
06863108CA_8201,2,1,1,3,1,1,12
07730402CE_1216,2,1,3,2,0,3,9
07730402CE_1259,3,0,2,2,1,3,3
07730402CE_1260,3,1,1,2,1,3,6
07730402CE_2061,2,0,3,3,1,1,6
07730402CE_2062,1,1,1,2,1,2,12
07730402CE_2065,3,1,3,3,1,1,9
07730402CE_2162,3,0,1,2,1,1,12
07730402CE_2203,1,0,1,2,1,3,6
07730402CE_2261,2,1,1,1,0,1,3
07730402CE_2378,3,0,2,2,1,2,6
07730402CE_3973,1,0,3,3,0,2,3
10903302US_1216,1,0,2,3,1,2,9
10903302US_1230,3,0,1,1,0,2,6
10903302US_1259,1,0,3,2,1,1,9
10903302US_1274,2,1,1,3,1,3,3
10903302US_1602,2,1,2,1,1,1,9
10903302US_1805,3,0,1,3,0,3,6
10903302US_2062,2,1,1,3,0,1,12
10903302US_2065,1,0,1,1,0,2,12
10903302US_2107,2,0,3,1,1,2,9
10903302US_2137,2,1,2,3,0,1,6
10903302US_2378,2,1,3,1,1,2,9
12140001CA_1015,1,0,2,2,1,2,9
12140001CA_1034,1,1,3,1,0,3,3
12140001CA_1213,3,1,2,2,0,1,12
12140001CA_1216,1,1,1,3,1,1,3
12140001CA_1230,2,1,3,1,1,2,12
12140001CA_1259,2,0,1,2,1,2,9
12140001CA_1274,2,0,3,1,1,2,12
12140001CA_2059,1,0,2,1,1,2,6
12140001CA_2062,1,0,2,2,0,2,0
12140001CA_2065,1,0,2,2,1,2,12
12140001CA_2107,3,1,2,2,0,1,12
12140001CA_2137,3,1,2,2,1,1,12
12140001CA_2269,1,1,2,3,0,1,0
12140001CA_2290,2,0,2,3,1,2,9
12140001CA_2378,1,0,3,2,0,1,12
12151103CA_1006,2,0,2,3,1,1,6
12151103CA_1015,2,0,1,1,0,3,6
12151103CA_1038,3,1,2,3,1,3,6
12151103CA_1078,2,1,3,3,1,1,12
12151103CA_1099,1,1,2,3,0,2,12
12151103CA_1137,3,1,1,3,1,1,12
12151103CA_1213,3,1,1,2,0,2,6
12151103CA_1216,1,0,3,2,0,2,0
12151103CA_1259,2,1,2,3,0,2,12
12151103CA_1274,1,0,2,3,1,3,3
12151103CA_1289,1,0,2,3,0,3,9
12151103CA_1602,3,0,3,2,1,2,9
12151103CA_1603,1,0,3,1,1,2,9
12151103CA_2059,1,0,1,1,0,3,9
12151103CA_2062,2,0,2,2,1,1,12
12151103CA_2065,3,0,1,1,1,1,9
12151103CA_2071,2,0,3,1,0,3,0
12151103CA_2107,2,1,3,1,1,2,6
12151103CA_2137,1,0,1,2,1,1,12
